Water,Water-Cement Ratio,Water-Binder Content Ratio,Predicted Strength
154.64,0.5902290076335878,0.39886510188289914,54.312346611658185
156.32482758620688,0.5966596472755987,0.40321080109932134,47.699092607648225
158.00965517241377,0.6030902869176098,0.40755650031574353,46.9769889169103
159.69448275862067,0.6095209265596209,0.4119021995321658,47.42978017494099
161.3793103448276,0.615951566201632,0.4162478987485881,47.99545920313648
163.06413793103448,0.622382205843643,0.4205935979650103,47.55365127479238
164.74896551724137,0.6288128454856541,0.4249392971814325,47.27800853474781
166.43379310344827,0.6352434851276652,0.4292849963978547,43.1018852477691
168.11862068965516,0.6416741247696762,0.4336306956142769,41.314973194948735
169.80344827586205,0.6481047644116872,0.43797639483069917,42.20301954778456
171.48827586206895,0.6545354040536983,0.44232209404712136,43.85714250140442
173.17310344827587,0.6609660436957094,0.44666779326354367,43.85714250140442
174.85793103448276,0.6673966833377205,0.45101349247996586,43.76565294337229
176.54275862068965,0.6738273229797315,0.45535919169638805,43.07828481581356
178.22758620689655,0.6802579626217425,0.4597048909128103,40.93023853909861
179.91241379310344,0.6866886022637536,0.4640505901292325,40.432886898999904
181.59724137931033,0.6931192419057647,0.46839628934565475,39.696157114492685
183.28206896551723,0.6995498815477756,0.47274198856207694,39.547699599375704
184.96689655172412,0.7059805211897867,0.47708768777849914,37.02374467271513
186.65172413793104,0.7124111608317979,0.48143338699492144,36.19995315866965
188.33655172413793,0.7188418004738089,0.4857790862113437,36.27942143026996
190.02137931034483,0.7252724401158199,0.4901247854277659,35.767128275707414
191.70620689655172,0.731703079757831,0.4944704846441881,35.593113703408406
193.3910344827586,0.7381337193998421,0.49881618386061033,35.67296568648532
195.07586206896553,0.7445643590418531,0.5031618830770326,35.59253471725343
196.76068965517243,0.7509949986838642,0.5075075822934548,35.246365302467225
198.44551724137932,0.7574256383258753,0.5118532815098771,35.50973028966114
200.1303448275862,0.7638562779678864,0.5161989807262992,35.534651123493155
201.8151724137931,0.7702869176098973,0.5205446799427215,34.47920259250847
203.5,0.7767175572519084,0.5248903791591437,34.59664778779112
